Name,Nationality,National_Position,Club_Position,Height,Weight,Preffered_Foot,Age,Work_Rate,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys
Cristiano Ronaldo,Portugal,LS,LW,185,80,Right,32,High / Low,4,5,93,92,22,23,31,63,96,29,85,86,84,83,77,91,92,92,80,63,90,95,85,92,93,90,81,76,85,88
Lionel Messi,Argentina,RW,RW,170,72,Left,29,Medium / Medium,4,4,95,97,13,26,28,48,95,22,90,94,77,88,87,92,87,74,59,95,90,68,71,85,95,88,89,90,74,85
Neymar,Brazil,LW,LW,174,68,Right,25,High / Medium,5,5,95,96,21,33,24,56,88,36,80,80,75,81,75,93,90,79,49,82,96,61,62,78,89,77,79,84,81,83
Luis Suárez,Uruguay,LS,ST,182,85,Right,30,High / Medium,4,4,91,86,30,38,45,78,93,41,84,83,77,83,64,88,77,89,76,60,86,69,77,87,94,86,86,84,85,88
Manuel Neuer,Germany,GK,GK,193,92,Right,31,Medium / Medium,4,1,48,30,10,11,10,29,85,30,70,70,15,55,59,58,61,44,83,35,52,78,25,25,13,16,14,11,47,11
De Gea,Spain,GK,GK,193,82,Right,26,Medium / Medium,3,1,31,13,13,13,21,38,88,30,68,60,17,31,32,56,56,25,64,43,57,67,21,31,13,12,21,19,40,13
Robert Lewandowski,Poland,LS,ST,185,79,Right,28,High / Medium,4,3,87,85,25,19,42,80,88,39,78,87,62,83,65,79,82,79,84,79,78,84,85,86,91,82,77,76,81,86
Gareth Bale,Wales,RS,RW,183,74,Left,27,High / Medium,3,4,88,89,51,52,55,65,87,59,79,85,87,86,80,93,95,78,80,65,77,85,86,91,87,90,86,85,76,76
Zlatan Ibrahimović,Sweden,,ST,195,95,Right,35,Medium / Low,4,4,90,87,15,27,41,84,85,20,83,91,76,84,76,69,74,75,93,41,86,72,80,93,90,88,82,82,91,93
Thibaut Courtois,Belgium,GK,GK,199,91,Left,24,Medium / Medium,3,1,23,13,11,16,18,23,81,15,44,52,14,32,31,46,52,38,70,45,61,68,13,36,14,17,19,11,27,12
Jérôme Boateng,Germany,RCB,Sub,192,90,Right,28,Medium / Medium,4,2,72,67,90,91,92,82,84,84,76,86,69,75,80,74,81,75,91,54,58,75,86,79,34,58,56,31,46,53
Eden Hazard,Belgium,LF,LW,173,74,Right,26,High / Medium,4,4,91,93,25,22,27,54,85,41,86,86,80,84,80,93,87,77,65,90,92,59,57,79,81,82,82,79,86,79
Luka Modrić,Croatia,,RCM,174,65,Right,31,High / Medium,4,4,92,86,66,73,80,62,88,76,90,76,78,92,83,77,71,83,58,94,93,67,55,73,71,82,79,77,80,74
Mesut Özil,Germany,CAM,CAM,180,76,Left,28,Medium / Low,2,4,90,86,22,19,16,48,87,24,93,73,82,89,84,77,68,68,56,70,84,52,54,70,75,76,84,79,67,77
Gonzalo Higuaín,Argentina,Sub,ST,184,92,Right,29,High / Medium,4,3,85,84,12,18,22,50,86,20,70,84,68,73,59,79,81,73,85,69,75,77,80,86,92,80,74,62,70,88
Thiago Silva,Brazil,Sub,LCB,183,79,Right,32,High / High,3,3,80,68,90,89,91,77,84,91,74,80,60,79,81,72,76,74,81,68,75,93,82,78,38,71,61,73,71,63
