,Player,Weekly Salary
1528,Lionel Messi,1538905.0
1006,Cristiano Ronaldo,1248536.0
1529,Antoine Griezmann,997032.0
2004,Neymar,797726.0
1530,Gareth Bale,607706.0
1532,Philippe Coutinho,508923.0
1531,Luis Suárez,508923.0
0,Alexis Sánchez,461765.0
1,Mesut Özil,461765.0
1535,Toni Kroos,434977.0
1534,Sergio Ramos,434977.0
1533,Marcelo,434977.0
2005,Kylian Mbappé,405464.0
1536,Luka Modric,405311.0
2006,Edinson Cavani,400548.0
2,Gonzalo Higuaín,400290.0
3,Paul Pogba,382606.0
1537,Karim Benzema,359813.0
1538,Diego Costa,347764.0
497,Robert Lewandowski,346807.0
1539,Koke,346785.0
2007,Thiago Silva,345937.0
498,Manuel Neuer,326233.0
1541,Sergio Busquets,325124.0
499,Thomas Müller,325124.0
4,Kevin De Bruyne,303624.0
5,Sergio Agüero,303624.0
6,Eden Hazard,296088.0
1542,Ivan Rakitic,290434.0
2009,Ángel Di María,289238.0
2008,Marquinhos,289238.0
2010,Mario Balotelli,282735.0
1007,Paulo Dybala,281930.0
500,James Rodríguez,281778.0
1543,Thibaut Courtois,281778.0
1544,Gerard Piqué,277080.0
1545,Isco,276145.0
8,Harry Kane,263866.0
9,Henrikh Mkhitaryan,263866.0
11,Riyad Mahrez,263866.0
10,Mohamed Salah,263866.0
7,David de Gea,263866.0
1008,Miralem Pjanic,261791.0
1547,Samuel Umtiti,260986.0
1546,Ousmane Dembélé,260986.0
1548,Saúl Ñíguez,260769.0
501,Franck Ribéry,260094.0
502,Jérôme Boateng,260094.0
503,Thiago,260094.0
1009,Douglas Costa,241651.0
1010,Gianluigi Donnarumma,241651.0
12,Alexandre Lacazette,240220.0
504,Marco Reus,238433.0
14,Nicolás Otamendi,237479.0
13,Fernandinho,237479.0
15,Pierre-Emerick Aubameyang,237479.0
16,Roberto Firmino,237479.0
17,Romelu Lukaku,237479.0
18,Virgil van Dijk,237479.0
1549,Jan Oblak,234083.0
1550,Vitolo,234083.0
1551,Raphaël Varane,225427.0
1011,Leonardo Bonucci,221512.0
1012,Mario Mandzukic,221512.0
507,Mats Hummels,216749.0
506,Mario Götze,216749.0
505,David Alaba,216749.0
1552,Sergi Roberto,216749.0
1553,Álvaro Morata,214161.0
1554,Diego Godín,212943.0
20,Juan Mata,211093.0
19,David Silva,211093.0
1013,Emre Can,201373.0
21,Kepa,201350.0
22,Bernardo Silva,197900.0
26,Vincent Kompany,197900.0
25,Raheem Sterling,197900.0
24,N'Golo Kanté,197900.0
23,Luke Shaw,197900.0
1555,Arturo Vidal,195740.0
2011,Falcao,195065.0
1556,Iñigo Martínez,195065.0
1558,Keylor Navas,186605.0
1559,Marc-André ter Stegen,186605.0
1557,Jordi Alba,186605.0
1560,Mariano Díaz,186605.0
1014,Lorenzo Insigne,185278.0
27,Chicharito,184706.0
31,Jordan Henderson,184706.0
30,Jamie Vardy,184706.0
29,James Milner,184706.0
28,Ilkay Gündogan,184706.0
2013,Gianluigi Buffon,182060.0
2012,Dani Alves,182060.0
1562,Simon Kjær,181233.0
1561,Marco Asensio,181233.0
1015,Edin Dzeko,181233.0
1016,Mauro Icardi,181233.0
1017,Radja Nainggolan,181233.0
1563,Daniel Carvajal,179906.0
509,Leon Goretzka,173991.0
508,Kingsley Coman,173991.0
511,Joshua Kimmich,173404.0
510,Axel Witsel,173404.0
34,Wilfried Zaha,171513.0
32,Daniel Sturridge,171513.0
33,Kasper Schmeichel,171513.0
1564,Filipe Luís,169054.0
35,David Luiz,165804.0
36,Danny Welbeck,164916.0
37,Max Meyer,164916.0
